ID,pagemode,ipadd,veg,iDdOk,seconds
977,filter.php,IP7,cucumber,TRUE,1
983,filter.php,IP11,cucumber,TRUE,2
987,filter.php,IP1,cucumber,TRUE,3
988,filter.php,IP3,cucumber,TRUE,3
989,filter.php,IP8,cucumber,TRUE,3
992,filter.php,IP18,cucumber,TRUE,3
994,filter.php,IP13,cucumber,TRUE,3
995,filter.php,IP10,cucumber,TRUE,3
996,filter.php,IP5,cucumber,TRUE,3
999,filter.php,IP26,cucumber,TRUE,4
1000,filter.php,IP1,cucumber,TRUE,4
1001,filter.php,IP2,cucumber,TRUE,4
1002,filter.php,IP27,cucumber,TRUE,5
1003,filter.php,IP17,cucumber,TRUE,5
1005,filter.php,IP6,cucumber,TRUE,7
1007,filter.php,IP28,cucumber,TRUE,7
1014,filter.php,IP14,cucumber,TRUE,16
1018,filter.php,IP27,cucumber,TRUE,17
1022,filter.php,IP11,pea,TRUE,1
1028,filter.php,IP13,pea,TRUE,2
1034,filter.php,IP1,pea,TRUE,3
1035,filter.php,IP8,pea,TRUE,3
1036,filter.php,IP14,pea,TRUE,3
1037,filter.php,IP10,pea,TRUE,3
1038,filter.php,IP28,pea,TRUE,3
1040,filter.php,IP18,pea,TRUE,4
1041,filter.php,IP5,pea,TRUE,4
1042,filter.php,IP26,pea,TRUE,4
1043,filter.php,IP2,pea,TRUE,4
1049,filter.php,IP3,pea,TRUE,8
1050,filter.php,IP5,pea,TRUE,8
1051,filter.php,IP17,pea,TRUE,10
1052,filter.php,IP6,pea,TRUE,10
1062,filter.php,IP26,tomato,TRUE,3
1063,filter.php,IP8,tomato,TRUE,3
1065,filter.php,IP28,tomato,TRUE,3
1068,filter.php,IP17,tomato,TRUE,4
1070,filter.php,IP2,tomato,TRUE,4
1072,filter.php,IP11,tomato,TRUE,4
1073,filter.php,IP13,tomato,TRUE,4
1074,filter.php,IP5,tomato,TRUE,4
1076,filter.php,IP2,tomato,TRUE,4
1078,filter.php,IP18,tomato,TRUE,4
1079,filter.php,IP10,tomato,TRUE,4
1080,filter.php,IP14,tomato,TRUE,5
1082,filter.php,IP27,tomato,TRUE,5
1083,filter.php,IP6,tomato,TRUE,5
1085,filter.php,IP2,tomato,TRUE,6
1086,filter.php,IP3,tomato,TRUE,7
1097,filter.php,IP11,pepper,TRUE,2
1103,filter.php,IP26,pepper,TRUE,3
1104,filter.php,IP3,pepper,TRUE,3
1105,filter.php,IP17,pepper,TRUE,3
1108,filter.php,IP14,pepper,TRUE,4
1109,filter.php,IP13,pepper,TRUE,4
1111,filter.php,IP2,pepper,TRUE,6
1112,filter.php,IP6,pepper,TRUE,6
1113,filter.php,IP8,pepper,TRUE,6
1114,filter.php,IP5,pepper,TRUE,6
1115,filter.php,IP4,pepper,TRUE,7
1116,filter.php,IP4,pepper,TRUE,10
1117,filter.php,IP28,pepper,TRUE,11
1127,filter.php,IP11,carrot,TRUE,2
1129,filter.php,IP4,carrot,TRUE,2
1130,filter.php,IP8,carrot,TRUE,2
1132,filter.php,IP4,carrot,TRUE,2
1133,filter.php,IP27,carrot,TRUE,2
1134,filter.php,IP17,carrot,TRUE,2
1135,filter.php,IP2,carrot,TRUE,2
1136,filter.php,IP26,carrot,TRUE,2
1138,filter.php,IP10,carrot,TRUE,3
1139,filter.php,IP14,carrot,TRUE,3
1140,filter.php,IP5,carrot,TRUE,3
1142,filter.php,IP28,carrot,TRUE,3
1144,filter.php,IP3,carrot,TRUE,3
1145,filter.php,IP1,carrot,TRUE,3
1146,filter.php,IP18,carrot,TRUE,3
1148,filter.php,IP13,carrot,TRUE,4
1149,filter.php,IP6,carrot,TRUE,4
1159,filter.php,IP28,onion,TRUE,2
1161,filter.php,IP17,onion,TRUE,3
1164,filter.php,IP1,onion,TRUE,3
1165,filter.php,IP27,onion,TRUE,3
1166,filter.php,IP13,onion,TRUE,3
1168,filter.php,IP11,onion,TRUE,3
1169,filter.php,IP6,onion,TRUE,3
1170,filter.php,IP3,onion,TRUE,3
1171,filter.php,IP2,onion,TRUE,3
1172,filter.php,IP8,onion,TRUE,3
1173,filter.php,IP2,onion,TRUE,3
1175,filter.php,IP18,onion,TRUE,4
1176,filter.php,IP14,onion,TRUE,4
1177,filter.php,IP1,onion,TRUE,4
1178,filter.php,IP10,onion,TRUE,4
1179,filter.php,IP26,onion,TRUE,4
1181,filter.php,IP5,onion,TRUE,6
1183,filter.php,IP11,potato,TRUE,2
1185,filter.php,IP5,potato,TRUE,2
1191,filter.php,IP27,potato,TRUE,3
1195,filter.php,IP4,potato,TRUE,3
1197,filter.php,IP8,potato,TRUE,3
1200,filter.php,IP28,potato,TRUE,3
1201,filter.php,IP17,potato,TRUE,3
1202,filter.php,IP3,potato,TRUE,3
1205,filter.php,IP2,potato,TRUE,4
1206,filter.php,IP6,potato,TRUE,4
1207,filter.php,IP1,potato,TRUE,4
1208,filter.php,IP2,potato,TRUE,4
1209,filter.php,IP14,potato,TRUE,4
1210,filter.php,IP18,potato,TRUE,4
1211,filter.php,IP26,potato,TRUE,4
1212,filter.php,IP13,potato,TRUE,4
1215,filter.php,IP10,potato,TRUE,7
1222,filter.php,IP3,broccoli,TRUE,2
1224,filter.php,IP2,broccoli,TRUE,2
1228,filter.php,IP11,broccoli,TRUE,2
1231,filter.php,IP10,broccoli,TRUE,2
1232,filter.php,IP5,broccoli,TRUE,2
1234,filter.php,IP6,broccoli,TRUE,2
1235,filter.php,IP27,broccoli,TRUE,3
1237,filter.php,IP13,broccoli,TRUE,3
1238,filter.php,IP18,broccoli,TRUE,3
1240,filter.php,IP1,broccoli,TRUE,3
1242,filter.php,IP17,broccoli,TRUE,3
1245,filter.php,IP14,broccoli,TRUE,3
1246,filter.php,IP26,broccoli,TRUE,3
1248,filter.php,IP8,broccoli,TRUE,5
1249,filter.php,IP4,broccoli,TRUE,5
1251,filter.php,IP28,broccoli,TRUE,8
1252,filter.php,IP4,broccoli,TRUE,8
1255,filter.php,IP4,spinach,TRUE,3
1265,filter.php,IP11,spinach,TRUE,4
1266,filter.php,IP4,spinach,TRUE,4
1267,filter.php,IP3,spinach,TRUE,4
1269,filter.php,IP13,spinach,TRUE,4
1270,filter.php,IP27,spinach,TRUE,4
1272,filter.php,IP6,spinach,TRUE,5
1275,filter.php,IP17,spinach,TRUE,5
1277,filter.php,IP5,spinach,TRUE,5
1281,filter.php,IP8,spinach,TRUE,6
1285,filter.php,IP4,spinach,TRUE,7
1286,filter.php,IP1,spinach,TRUE,7
1287,filter.php,IP18,spinach,TRUE,7
1289,filter.php,IP28,spinach,TRUE,8
1290,filter.php,IP10,spinach,TRUE,9
1298,filter.php,IP2,cabbage,TRUE,3
1301,filter.php,IP2,cabbage,TRUE,3
1303,filter.php,IP8,cabbage,TRUE,3
1304,filter.php,IP6,cabbage,TRUE,3
1305,filter.php,IP13,cabbage,TRUE,3
1310,filter.php,IP1,cabbage,TRUE,4
1313,filter.php,IP5,cabbage,TRUE,4
1314,filter.php,IP3,cabbage,TRUE,5
1320,filter.php,IP10,cabbage,TRUE,7
1324,filter.php,IP27,cabbage,TRUE,10
1330,filter.php,IP11,asparagus,TRUE,2
1333,filter.php,IP3,asparagus,TRUE,3
